TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,RatingTier
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT01782,U00021,CR00032,2025-05-08,0.0,PayPal,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT01789,U00037,CR00032,2025-02-28,0.0,Bank Transfer,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT01812,U00114,CR00032,2025-02-22,0.0,Bank Transfer,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT01955,U00583,CR00032,2025-03-01,0.0,PayPal,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT01958,U00588,CR00055,2025-05-12,57.32,Credit Card,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02007,U00755,CR00031,2025-07-25,0.0,Bank Transfer,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02018,U00796,CR00005,2025-07-14,0.0,PayPal,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02062,U00964,CR00019,2025-12-20,0.0,PayPal,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02069,U00986,CR00035,2025-02-26,0.0,PayPal,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02114,U01110,CR00051,2025-04-24,37.89,Bank Transfer,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02126,U01148,CR00033,2025-06-10,0.0,Bank Transfer,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02163,U01259,CR00034,2025-12-06,394.26,Bank Transfer,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02177,U01329,CR00006,2025-10-29,276.37,Bank Transfer,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02180,U01348,CR00031,2025-06-30,0.0,Bank Transfer,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02191,U01416,CR00035,2025-03-01,0.0,PayPal,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02198,U01431,CR00033,2025-04-13,0.0,PayPal,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02211,U01468,CR00032,2025-09-23,0.0,Bank Transfer,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02250,U01613,CR00035,2025-03-30,0.0,PayPal,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02288,U01732,CR00016,2025-08-05,0.0,PayPal,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02296,U01768,CR00033,2025-09-04,0.0,Credit Card,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02297,U01768,CR00010,2025-04-30,0.0,PayPal,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02317,U01830,CR00051,2025-10-07,37.89,PayPal,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02385,U02057,CR00031,2025-10-13,0.0,Credit Card,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02441,U02222,CR00034,2025-11-03,394.26,Bank Transfer,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02513,U02403,CR00032,2025-08-14,0.0,Credit Card,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02531,U02451,CR00017,2025-08-02,0.0,PayPal,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02538,U02465,CR00009,2025-06-12,0.0,Bank Transfer,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02562,U02545,CR00033,2025-05-08,0.0,Bank Transfer,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02570,U02571,CR00031,2025-09-28,0.0,PayPal,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02572,U02577,CR00020,2025-08-28,0.0,Bank Transfer,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02579,U02584,CR00032,2025-07-05,0.0,Credit Card,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02589,U02609,CR00031,2025-07-09,0.0,Credit Card,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02601,U02665,CR00051,2025-03-05,37.89,PayPal,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02610,U02727,CR00034,2025-01-11,394.26,PayPal,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02650,U02902,CR00032,2025-10-12,0.0,Credit Card,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,Low Rated
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,TT02674,U03000,CR00034,2025-02-06,394.26,PayPal,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,Low Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03882,U00076,CR00013,2025-08-04,0.0,PayPal,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03898,U00096,CR00058,2025-10-14,0.0,Bank Transfer,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03902,U00125,CR00011,2025-03-21,326.02,Credit Card,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03912,U00143,CR00057,2025-05-09,177.34,PayPal,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03925,U00200,CR00056,2025-08-24,212.39,PayPal,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03950,U00279,CR00057,2025-01-10,177.34,Bank Transfer,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03959,U00290,CR00058,2025-07-14,0.0,Credit Card,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT03976,U00327,CR00057,2025-11-27,177.34,PayPal,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT04014,U00426,CR00060,2025-11-13,0.0,Bank Transfer,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT04019,U00448,CR00059,2025-03-01,0.0,Bank Transfer,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT04075,U00541,CR00056,2025-09-07,212.39,Credit Card,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT04079,U00551,CR00057,2025-09-15,177.34,PayPal,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT04088,U00602,CR00058,2025-05-12,0.0,PayPal,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT04123,U00648,CR00059,2025-01-30,0.0,Credit Card,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,Mid Rated
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,TT04133,U00661,CR00056,2025-09-15,212.39,Bank Transfer,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,Mid Rated
